Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q85	NFR-PERF-006 / B-TENANT-ISO-1	⑥ 追加確認事項	事業側	最優先	お客様企業ごとの流量上限と、別環境へ分ける基準	(a) 1 社の利用が集中したときに他社へ影響が出ないよう、お客様企業ごとに 1 秒あたりの上限を設けます。ログイン処理の上限値をどうしますか。 ／ (b) どういう条件を満たしたお客様を、共有環境から切り離して別環境に移すことにしますか。	A) 弊社が規模に応じて自動で設定する（お客様ごとの契約人数から算出）【弊社の推奨・現行の暫定値】 / B) 契約ごとに個別に取り決める（大口のお客様のみ引き上げ） / C) 上限を設けない / D) 未確定 / A) 利用規模が一定を超えた場合と、規制業種で物理的な分離を求められた場合の 2 条件 【弊社の推奨・現行の暫定値】 / B) 契約金額で判断する / C) 切り離しは行わない（全社共有のまま） / D) 未確定	本サービスは全社を 1 つの環境に収容する設計で、設備が自動的に分かれるわけではありません。上限を設けないと 1 社の急増が全社のログインを止め得ます。また「うちだけ別にしてほしい」というご要望が出たときの判断基準を先に決めておかないと、都度交渉になります。	上限は設定値のみで追加費用はかかりません（利用者管理・自動同期の API は 1 秒あたり 10 件で設定済み）。C を選ぶと 1 社起因の輻輳を止める手段が無くなります。(b) で切り離しを行う場合、その 1 社分の設備一式が別途必要になり月額費用が発生します。この基準は契約書に明記する前提です。	Q01（利用者数の上限）
Q86	B-401-2	⑥ 追加確認事項	事業側 + アプリチーム	最優先	自動登録された利用者に、最初どの権限を与えるか	お客様のログイン基盤から初めてログインしてきた人を自動登録するとき、その人に最初どの権限を与えますか。	A) 何も与えない（明示的に権限を付けるまで、どのアプリも使えない）【弊社の推奨・業界標準】 / B) 全員に共通の基本権限を与える（ログインすれば最低限の画面は見られる） / C) お客様企業ごとに指定していただく / D) 未確定	自動登録は人手の確認を挟まずに利用者が増える仕組みです。初期権限を広めに設定すると、退職者の情報が古いまま残っているお客様の場合、本来アクセスできないはずの人が入れてしまいます。	A は最も安全ですが、登録直後は何もできないため「ログインできたのに使えない」という問い合わせが発生します（権限が付くまでの案内画面を用意します）。B は利用開始がスムーズな代わり、上記のリスクを受け入れることになります。C はお客様ごとの設定項目が増え、設定ミスの余地が生まれます。この設定は自動登録・自動同期・一括登録のすべてに共通で適用します（登録の経路によって変えません）。	`B-401-2`（Git のヒアリング一覧にあり、Excel には行が無い新規登録が必要な項目）
Q87	B-GD-1	⑥ 追加確認事項	事業側 + アプリチーム	通常	お客様側の署名鍵が入れ替わるときの事前連絡	お客様企業のログイン基盤が署名に使う鍵を入れ替えるとき、事前にご連絡いただく取り決めを契約に入れますか。	A) 入れる（入れ替えの 2 週間前までにご連絡いただく）【弊社の推奨・現行の暫定値】 / B) 入れない（弊社側で自動追従できる範囲で対応する） / C) 未確定	鍵が予告なく入れ替わると、そのお客様の全利用者が突然ログインできなくなります。1000 社規模では、事前連絡が無いと原因の切り分けだけで時間を要します。	A の場合、契約書に連絡義務を入れ、連絡窓口を決めていただく必要があります。B の場合、弊社側で自動的に新しい鍵を取りに行く仕組みが要りますが、その機能が製品に存在するかを実機で確認中です（存在しない場合は運用での代替になります）。なお予告のない鍵の入れ替えは、なりすましの兆候とも区別がつかないため、検知して通報する仕組みは A・B いずれでも入れます。	1000 社規模の証明書更新運用（00a `A-9` の実機確認結果に依存）
Q88	NFR-SEC-010-2	⑥ 追加確認事項	事業側	通常	漏えい済みパスワードの照合	利用者がパスワードを設定するとき、過去に世の中へ流出したパスワードでないか照合して、該当したら拒否する機能を入れますか。	A) 入れる（外部の照合サービスを利用）【弊社の推奨】 / B) 入れない（文字数と文字種のルールのみで判定）【現行の暫定値 — 要件表では未確定】 / C) 未確定	流出したパスワードの使い回しは、総当たり攻撃より成功率が高い攻撃経路です。公的なガイドラインでも照合が推奨されています。	A の場合、外部サービスへの問い合わせが発生します（パスワードそのものは送らず、ハッシュの先頭だけを送る方式のため漏えいリスクはありません）。導入費用は小さいものの、外部への通信が発生する点は、海外送信の観点で法務確認の対象になり得ます。B は追加費用ゼロですが、使い回しを防げません。この機能が効くのは、お客様側にログインの仕組みが無くパスワードを弊社でお預かりする利用者のみです。	
Q89	FR-ADMIN-008	⑥ 追加確認事項	事業側	通常	設定変更の履歴をお客様に見せるか	「誰がいつ、どの設定を変更したか」の履歴を、お客様企業の管理者が自分で閲覧できるようにしますか。	A) 自社に関する変更のみ閲覧できる（他社の変更は見えない）【弊社の推奨・現行の暫定値】 / B) 閲覧できない（ご要望があれば弊社が抽出してお渡しする） / C) 未確定	監査を受けるお客様は「自社の設定が勝手に変えられていないこと」を自分で確認したいという要求を持つためです。	A の場合、他社の記録が混ざらないよう絞り込む仕組みが管理画面に必要です（記録自体はすでに取得しています）。B は追加開発ゼロですが、依頼のたびに弊社の運用作業が発生します。	Q54（記録を残す期間）
Q90	FR-ADMIN-010 / FR-ADMIN-006	⑥ 追加確認事項	事業側	通常	管理者の権限をどこまで細かく分けるか	お客様企業の管理者の権限を、役割ごとに細かく分ける必要はありますか（例: 利用者の追加はできるが削除はできない）。	A) 3 段階（弊社の運用者 / お客様の管理者 / 参照のみ）【弊社の推奨・現行の暫定値】 / B) 5 段階（上記 + 利用者管理のみ / 設定変更のみ に分割） / C) 操作単位で個別に割り当て（利用者の追加・削除・権限変更・設定変更・記録閲覧をそれぞれ許可/不許可で指定） / D) 分けない（管理者は全操作可能） / E) 未確定	分け方が細かいほど安全ですが、管理画面の作り込みと設定作業が増えます。C（操作単位）は最も柔軟ですが、権限の組み合わせが増えすぎて誰が何をできるか把握できなくなる（権限定義の破綻）という失敗が典型的です。	A は設計済みの構成で追加開発なしです。B は役割の数だけ画面の出し分けと権限判定が増えます。C は権限判定の仕組みを別途作り込む必要があり、開発工数が最も大きくなります。D は「管理者が誤って全利用者を削除する」事故を防げません。	Q23 / `B-TAP-1`（管理画面の必要性）
Q91	B-AUTHZLOG-1	⑥ 追加確認事項	事業側	通常	監査人が求める「許可・拒否の記録」の細かさ	監査を受ける際、「誰がどの操作を許可されたか・拒否されたか」の記録として、どこまでの細かさを求められる見込みですか。	A) 拒否は全件、重要な操作の許可は全件、通常の閲覧はまとめて記録 【弊社の推奨・現行の暫定値】 / B) すべての操作を 1 件ずつ記録 / C) 記録は不要（誰がログインしたかの記録だけで足りる） / D) 未確定	すべてを 1 件ずつ残すと記録の量が膨大になり保管費用が跳ね上がるため、どこまで必要かを先に決める必要があるためです。	A は方式を決定済みで追加開発なしです。B は記録量が数十倍になり、保管費用と検索性能に影響します。C を選んでも、後から必要になったときに過去に遡って記録を作ることはできません。	
Q92	B-KMS-3	⑥ 追加確認事項	事業側	通常	お客様ごとに専用の暗号鍵を用意するか	データの暗号化に使う鍵を、お客様企業ごとに別々に用意する必要はありますか。	A) 不要（本サービス全体で共通の鍵を使う。鍵は AWS の鍵管理サービスで保護）【弊社の推奨・現行の暫定値】 / B) 必要（対象となるお客様と、その理由をご記入ください） / C) 未確定	金融・医療など一部の規制業種で「自社のデータは自社専用の鍵で暗号化されていること」を求められる場合があるためです。	A は追加費用なしです。B の場合、お客様数に比例して鍵の管理費用が発生し（1 鍵あたり月額数ドル）、鍵の入れ替え作業もお客様数ぶん増えます。加えて、お客様ごとに鍵を分けるとデータの持ち方そのものを分ける必要が出る場合があり、Q85 の別環境への切り離しと連動します。	
Q93	NFR-SEC-013	⑥ 追加確認事項	事業側	通常	疑似的な攻撃による安全性検査	外部の専門業者による疑似的な攻撃の検査を、どの頻度で実施しますか。	A) リリース前に 1 回 + 以降は年 1 回 【弊社の推奨】 / B) リリース前に 1 回のみ（以降は大きな変更時） / C) 年 2 回以上（頻度をご記入ください） / D) 実施しない / E) 未確定	実施費用が年額で継続的に発生し、お客様から検査の報告書を求められた際の提出可否にも関わるためです。	1 回あたり外部業者への委託費用が発生します（金額は範囲によります）。検査対象にインターネットの出入口を含める場合、そこは他組織の管理下にあるため、実施には他組織の事前承諾が必要です。D を選ぶと、監査や大口のお客様との契約時に不利になる可能性があります。	
Q94	NFR-OPS-009	⑥ 追加確認事項	事業側	後回し可	運用にかかる人手の想定	本サービスの運用に必要な人手を、どの規模で見込みますか。	A) 運用者 10 名体制（リード 3 名 + 各系統の担当 + 緊急時の鍵管理者 2 名）【弊社の推奨・現行の暫定値】 / B) これより小さい規模で始めたい（想定人数をご記入ください） / C) 未確定	人数がQ48（障害対応の受付時間帯）と直結し、24 時間 365 日対応を約束できるかどうかを決めるためです。	Q48 で「リリース時点から 24 時間 365 日」を選ぶ場合、10 名が揃っていることが前提になります。B の場合、対応時間帯を平日日中に限定するか、一部の運用を自動化する追加開発でカバーすることになります。	Q48
