Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q31	FR-AUTH-010	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	前に使ったパスワードの使い回し禁止	過去に使ったパスワードの再利用を禁止する世代数は、直近 5 回分でよろしいでしょうか。 選択肢: - A) 直近 5 回分 【弊社の推奨・現行の暫定値】 - B) 直近 3 回分 - C) 直近 10 回分以上（具体的な数をご指定ください） - D) 制限しない なぜ聞くか: 御社の社内規程がパスワードの再利用禁止を定めている場合、弊社の初期値と食い違うと規程違反になるためです（この設定が効くのは、御社側にログイン基盤がなく弊社がパスワードをお預かりする利用者のみです）。 回答が設計に与える影響: 世代数を変えても費用・工数は動かず、設定値の変更のみで対応できます。世代数を増やすほど、利用者が「前に使ったパスワードが使えない」と戸惑う問い合わせが増えます。 優先度: 通常 既出: C-204-2 と同趣旨 — 二重に聞かない	A) 直近 5 回分 【弊社の推奨・現行の暫定値】 / B) 直近 3 回分 / C) 直近 10 回分以上（具体的な数をご指定ください） / D) 制限しない	御社の社内規程がパスワードの再利用禁止を定めている場合、弊社の初期値と食い違うと規程違反になるためです（この設定が効くのは、御社側にログイン基盤がなく弊社がパスワードをお預かりする利用者のみです）。	世代数を変えても費用・工数は動かず、設定値の変更のみで対応できます。世代数を増やすほど、利用者が「前に使ったパスワードが使えない」と戸惑う問い合わせが増えます。	C-204-2 と同趣旨 — 二重に聞かない
Q32	FR-AUTH-011a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	何回間違えたらロックするか	パスワードを何回続けて間違えたら、そのアカウントを一時的に使えなくしますか。 選択肢: - A) 5 回 【弊社の推奨・現行の暫定値】 - B) 3 回 - C) 10 回 - D) 回数によるロックはしない なぜ聞くか: 総当たりで password を破ろうとする攻撃を止める強さと、打ち間違いで正規の利用者が締め出される起こりやすさが、この回数だけで決まるためです。 回答が設計に与える影響: 設定値の変更のみで、弊社の実装費用は動きません。回数を減らすほど安全側になりますが、ロック解除の問い合わせが増え、御社の管理者または弊社運用の対応工数が増えます。 優先度: 通常 既出: C-205 と同趣旨 — 二重に聞かない	A) 5 回 【弊社の推奨・現行の暫定値】 / B) 3 回 / C) 10 回 / D) 回数によるロックはしない	総当たりで password を破ろうとする攻撃を止める強さと、打ち間違いで正規の利用者が締め出される起こりやすさが、この回数だけで決まるためです。	設定値の変更のみで、弊社の実装費用は動きません。回数を減らすほど安全側になりますが、ロック解除の問い合わせが増え、御社の管理者または弊社運用の対応工数が増えます。	C-205 と同趣旨 — 二重に聞かない
Q33	FR-AUTH-012	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	パスワードを定期的に変えさせるか	パスワードを一定期間ごとに変更させる必要はありますか。 選択肢: - A) 定期的な変更は求めない 【弊社の推奨】 - B) 90 日ごとに変更 - C) 180 日ごとに変更 - D) その他（日数をご指定ください） なぜ聞くか: 定期変更の要否は公的ガイドラインと御社の社内規程で判断が分かれる論点であり、弊社の設計書でも日数は決めていない（未確定）ためです。 回答が設計に与える影響: 定期変更ありを選ぶと、期限切れ時の変更画面と事前のお知らせ運用が追加で必要になり、期限切れ直後の問い合わせが集中します。弊社は「追加の本人確認を必ず行う代わりに定期変更は求めない」という整理を取っており、A 以外を選ぶ場合はこの整理を組み直します。 優先度: 通常	A) 定期的な変更は求めない 【弊社の推奨】 / B) 90 日ごとに変更 / C) 180 日ごとに変更 / D) その他（日数をご指定ください）	定期変更の要否は公的ガイドラインと御社の社内規程で判断が分かれる論点であり、弊社の設計書でも日数は決めていない（未確定）ためです。	定期変更ありを選ぶと、期限切れ時の変更画面と事前のお知らせ運用が追加で必要になり、期限切れ直後の問い合わせが集中します。弊社は「追加の本人確認を必ず行う代わりに定期変更は求めない」という整理を取っており、A 以外を選ぶ場合はこの整理を組み直します。	
Q34	FR-AUTH-013a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	パスワードを忘れたときの再設定方法	利用者がパスワードを忘れたとき、どの方法で再設定できるようにしますか。 選択肢: - A) あらかじめ配った予備コードで本人確認したうえで、本人が再設定する 【弊社の推奨】 - B) 御社の管理者が仮のパスワードを発行する - C) A と B の両方を用意する - D) メールで再設定用のリンクを送る なぜ聞くか: 弊社は業務用メールアドレスを持たない利用者を前提としているためメール送付による再設定を採用しない決定をしており、その代わりの手段を確定する必要があるためです。 回答が設計に与える影響: B・C を選ぶと、御社の管理者に受付・本人確認・仮パスワード発行の運用が常時発生します。D は弊社の決定方針（メールを使わない）と矛盾するため、採用する場合は方針の見直しとなり、設計・検証のやり直し工数が発生します。 優先度: 通常 既出: B-RECOV-1 と同趣旨 — 二重に聞かない	A) あらかじめ配った予備コードで本人確認したうえで、本人が再設定する 【弊社の推奨】 / B) 御社の管理者が仮のパスワードを発行する / C) A と B の両方を用意する / D) メールで再設定用のリンクを送る	弊社は業務用メールアドレスを持たない利用者を前提としているためメール送付による再設定を採用しない決定をしており、その代わりの手段を確定する必要があるためです。	B・C を選ぶと、御社の管理者に受付・本人確認・仮パスワード発行の運用が常時発生します。D は弊社の決定方針（メールを使わない）と矛盾するため、採用する場合は方針の見直しとなり、設計・検証のやり直し工数が発生します。	B-RECOV-1 と同趣旨 — 二重に聞かない
Q35	FR-AUTH-013b	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	管理者がリセットするときの本人確認	管理者がパスワードや追加の本人確認をリセットする際、依頼してきた人が本人であることをどの方法で確認しますか。 選択肢: - A) 対面など、顔が分かる経路で確認する 【弊社の推奨・現行の暫定値】 - B) 上長の承認をもって本人と認める - C) 社員番号など本人しか知らない情報を照合する - D) 御社で既に定めている規程に従う（内容をご提示ください） なぜ聞くか: この確認が甘いと「本人になりすまして電話をかけ、リセットさせる」手口でアカウントを乗っ取られるためです（弊社設計書では御社のポリシー次第として未確定にしています）。 回答が設計に与える影響: 確認手順は御社向けの運用手順書と、管理画面上の注意文言に反映します。弊社側の実装工数は選択肢によって変わりません。 優先度: 通常 既出: B-IDM-6 と同趣旨 — 二重に聞かない	A) 対面など、顔が分かる経路で確認する 【弊社の推奨・現行の暫定値】 / B) 上長の承認をもって本人と認める / C) 社員番号など本人しか知らない情報を照合する / D) 御社で既に定めている規程に従う（内容をご提示ください）	この確認が甘いと「本人になりすまして電話をかけ、リセットさせる」手口でアカウントを乗っ取られるためです（弊社設計書では御社のポリシー次第として未確定にしています）。	確認手順は御社向けの運用手順書と、管理画面上の注意文言に反映します。弊社側の実装工数は選択肢によって変わりません。	B-IDM-6 と同趣旨 — 二重に聞かない
Q36	FR-MFA-001	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	認証アプリの 6 桁コードを認めるか	端末に保存する鍵（指紋・顔認証・セキュリティキー）が使えない利用者向けの代わりの手段として、認証アプリの 6 桁コードを許可しますか。 選択肢: - A) 許可する 【弊社の推奨・現行の暫定値】 - B) 許可しない（端末に保存する鍵のみ） - C) 追加の本人確認そのものを行わない なぜ聞くか: 指紋・顔認証に対応していない古い端末や共用端末を使う利用者がどの程度いるかによって、代わりの手段が要るかどうかが変わるためです。 回答が設計に与える影響: A は追加費用なしで実装できます。B にすると対応端末の配備が前提になり、端末の調達費用が御社側に発生します。C は御社側にログイン基盤がある場合のみ成立し、その場合の追加の本人確認は御社側の責任範囲になります。 優先度: 通常 既出: B-502 と同趣旨 — 二重に聞かない	A) 許可する 【弊社の推奨・現行の暫定値】 / B) 許可しない（端末に保存する鍵のみ） / C) 追加の本人確認そのものを行わない	指紋・顔認証に対応していない古い端末や共用端末を使う利用者がどの程度いるかによって、代わりの手段が要るかどうかが変わるためです。	A は追加費用なしで実装できます。B にすると対応端末の配備が前提になり、端末の調達費用が御社側に発生します。C は御社側にログイン基盤がある場合のみ成立し、その場合の追加の本人確認は御社側の責任範囲になります。	B-502 と同趣旨 — 二重に聞かない
Q37	FR-MFA-002	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	端末に保存する鍵を第一の手段にするか	追加の本人確認の第一の手段を、端末に保存する鍵（指紋・顔認証・セキュリティキー）とすることでよろしいでしょうか。 選択肢: - A) 第一の手段とする 【弊社の推奨・現行の暫定値】 - B) 認証アプリの 6 桁コードを第一の手段とする - C) 決めていない（弊社の推奨に従う） なぜ聞くか: 端末に保存する鍵は偽のログイン画面に誘導されても盗まれない方式であり、弊社は管理者と弊社運用者にはこの方式を必須とする方針を取っているためです。 回答が設計に与える影響: A は追加費用なしで実装できます。B にすると偽サイト対策が弱くなるため、不審なログインを見つける監視の強化を別途検討することになり、その分の設計工数が増えます。 優先度: 通常 既出: B-503 / C-211 と同趣旨 — 二重に聞かない	A) 第一の手段とする 【弊社の推奨・現行の暫定値】 / B) 認証アプリの 6 桁コードを第一の手段とする / C) 決めていない（弊社の推奨に従う）	端末に保存する鍵は偽のログイン画面に誘導されても盗まれない方式であり、弊社は管理者と弊社運用者にはこの方式を必須とする方針を取っているためです。	A は追加費用なしで実装できます。B にすると偽サイト対策が弱くなるため、不審なログインを見つける監視の強化を別途検討することになり、その分の設計工数が増えます。	B-503 / C-211 と同趣旨 — 二重に聞かない
Q38	FR-MFA-003	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	SMS で送る確認コードの要否	SMS で送る確認コードを、追加の本人確認の手段として使う必要はありますか。 選択肢: - A) 不要（使わない） 【弊社の推奨・不採用の方針】 - B) 必要（対象となる利用者層をご提示ください） なぜ聞くか: SMS は電話番号を第三者に乗っ取られて確認コードを横取りされる事例が多く、公的なガイドラインでも推奨されない方式であるため、弊社は使わない方針としているためです。 回答が設計に与える影響: B の場合、SMS 送信の仕組みを追加で作り込む工数と、1 通ごとの送信費用（利用者数と回数に比例して増える従量費用）が発生します。加えて電話番号をお預かりすることになり、個人情報の取扱い範囲が広がります。 優先度: 通常 既出: B-502 と同趣旨 — 二重に聞かない	A) 不要（使わない） 【弊社の推奨・不採用の方針】 / B) 必要（対象となる利用者層をご提示ください）	SMS は電話番号を第三者に乗っ取られて確認コードを横取りされる事例が多く、公的なガイドラインでも推奨されない方式であるため、弊社は使わない方針としているためです。	B の場合、SMS 送信の仕組みを追加で作り込む工数と、1 通ごとの送信費用（利用者数と回数に比例して増える従量費用）が発生します。加えて電話番号をお預かりすることになり、個人情報の取扱い範囲が広がります。	B-502 と同趣旨 — 二重に聞かない
Q39	FR-MFA-004	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	メールで送る確認コードを使わない方針の確認	追加の本人確認にメールで送る確認コードを使わない方針で、ご了承いただけますでしょうか。 選択肢: - A) 了承する（使わない） 【弊社の推奨・決定済み】 - B) 使いたい（用途をご提示ください） なぜ聞くか: 弊社は業務用メールアドレスを持たない利用者（工場の現場など）を正式な前提として設計しており、メールを本人確認の経路にするとその方々が一切ログインできなくなるためです。 回答が設計に与える影響: B の場合、メールを持つ利用者と持たない利用者で本人確認の流れが二本立てになり、設計・実装・検証の工数が増えます。またこの方針はパスワードを忘れたときの再設定方法（FR-AUTH-013）と予備コードの要否（FR-MFA-005）の前提になっているため、変更するとそれらの設計もやり直しになります。 優先度: 通常 （当初は最優先候補でしたが、ご回答を待つ間も「使わない」前提で設計を進められ、何も止まらないため通常としました。A 以外をお選びの場合のみ、関連する 2 項目の設計をやり直します）	A) 了承する（使わない） 【弊社の推奨・決定済み】 / B) 使いたい（用途をご提示ください）	弊社は業務用メールアドレスを持たない利用者（工場の現場など）を正式な前提として設計しており、メールを本人確認の経路にするとその方々が一切ログインできなくなるためです。	B の場合、メールを持つ利用者と持たない利用者で本人確認の流れが二本立てになり、設計・実装・検証の工数が増えます。またこの方針はパスワードを忘れたときの再設定方法（FR-AUTH-013）と予備コードの要否（FR-MFA-005）の前提になっているため、変更するとそれらの設計もやり直しになります。	
Q40	FR-MFA-005a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	予備コードを配るか	端末を紛失したときに備えて、印刷や書き写しで保管する予備コードを利用者に配布しますか。 選択肢: - A) 配布する 【弊社の推奨・現行の暫定値】 - B) 配布しない（管理者によるリセットのみ） なぜ聞くか: メールや SMS での復旧経路を持たない方針のため、予備コードがないと端末を紛失した利用者が自力で復旧する手段が一切なくなるためです。 回答が設計に与える影響: 弊社側の実装工数は A・B で変わりません。B を選ぶと端末紛失のたびに御社管理者のリセット作業が必要になり、御社側の運用工数が増えます。 優先度: 通常	A) 配布する 【弊社の推奨・現行の暫定値】 / B) 配布しない（管理者によるリセットのみ）	メールや SMS での復旧経路を持たない方針のため、予備コードがないと端末を紛失した利用者が自力で復旧する手段が一切なくなるためです。	弊社側の実装工数は A・B で変わりません。B を選ぶと端末紛失のたびに御社管理者のリセット作業が必要になり、御社側の運用工数が増えます。	
