Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q69	FR-FED-006	⑤ アプリチーム向け	アプリチーム	最優先	SAML でしか接続できないアプリの有無	現在または今後接続する予定のアプリの中に、SAML 2.0 でしか認証連携できないものはありますか。	A) ない（すべて OIDC で接続可能）【弊社の推奨・現行の暫定値】（前提 P-14: 新規 = OIDC / 既存 SP = SAML） / B) ある（アプリ名と本数をご記入ください） / C) 未確定	本基盤が SAML の発行側（IdP モード）として振る舞う必要があるかどうかが決まるためです。要件表では現在 TBD のまま残っています。ServiceNow は該当が確定していますが、それ以外の把握ができていません。	B の場合、アプリ 1 本ごとに SAML Client（署名証明書・NameID 形式・属性マッピング）の設計と実機検証が必要で、アプリ数に比例して工数が増えます。また SAML には API 呼び出しの認可を扱う標準がないため、アプリが API を提供する場合は OIDC の併用が必須になります。	B-APP-OIDC-2（既存アプリの移行方針）と同趣旨
Q70	P-09	⑤ アプリチーム向け	アプリチーム	最優先	通行証（アクセストークン）の有効期限	アクセストークンの有効期限 30 分、リフレッシュトークン 30 日（ローテーションあり・絶対上限 24 時間・無操作 1 時間で失効） で、アプリ側の実装に支障はありませんか。	A) 支障なし 【弊社の推奨・現行の暫定値（前提 P-09）】 / B) アクセストークンをもっと長くしてほしい（希望値と理由をご記入ください） / C) もっと短くしたい（希望値と理由をご記入ください） / D) 未確定	有効期限はアプリ側のリフレッシュ実装とユーザー体験（再ログインの頻度）を直接決めるためです。	B は失効の反映が遅れます（後述 Q71 のゾンビ時間が延びる）。C はリフレッシュ回数が増え、トークン発行 API の負荷と応答時間の目標（p99 < 200ms）に影響します。アプリ側でリフレッシュ処理を実装していない場合、30 分でセッションが切れたように見えるため、実装状況の確認もお願いします。	
Q71	FR-SSO-009	⑤ アプリチーム向け	アプリチーム	最優先	失効が反映されるまでの猶予（ゾンビ時間）の許容	利用者を無効化・退職処理した後も、すでに発行済みのアクセストークンは最大 30 分間そのまま使えます。この状態を許容できますか。	A) 許容する（30 分以内に失効すればよい）【弊社の推奨・現行の暫定値】 / B) 許容できない — 即時に遮断したい（対象アプリ名をご記入ください） / C) 未確定	アクセストークンはアプリ側で基盤に問い合わせずに検証する方式のため、発行後に基盤側で取り消しても、期限が切れるまでアプリは有効と判断します。これは構造上の性質で、設定では消せません。	A は追加開発なしです。B は次のいずれかが必要になります。① アプリが API 呼び出しごとに基盤へ有効性を問い合わせる（応答時間が伸び、基盤の負荷が増える）② 有効期限を大幅に短くする（Q70 の C。リフレッシュ回数が増える）③ 失効通知を受け取る仕組みを実装する（ADR-065 の継続アクセス方式。Phase 2 以降）。退職者の即時遮断が業務上必須のアプリがあるかどうかが判断の分かれ目です。	
Q72	FR-SSO-006 / FR-SSO-007	⑤ アプリチーム向け	アプリチーム	最優先	ログアウト通知の受け取り方式	利用者がログアウトしたとき、アプリ側でセッションを破棄するための通知をどの方式で受け取りますか。	A) Back-Channel Logout（サーバー同士の直接通知。`POST /backchannel-logout` を実装）【弊社の推奨・現行の暫定値】 / B) Front-Channel Logout（ブラウザ経由で各アプリへ通知） / C) 受け取らない（アプリ側のセッションは自然失効に任せる） / D) 未確定	方式によってアプリ側の実装内容と、ログアウトの確実性が変わるためです。	A は成功率 90% 以上ですが、アプリ 1 本あたりエンドポイントの実装（署名検証・`iss`・`aud`・`events` の確認、`nonce` が無いことの確認、`sid` でのセッション特定）が必要です。B は成功率 60〜80% にとどまり（ブラウザのサードパーティ Cookie 制限の影響）、弊社では採用しません。C は共用端末で「ログアウトしたつもりが別アプリに入れてしまう」取り残しが起きます。	Q27（事業側にログアウト範囲の方針を確認）/ Q28（サーバー処理を持たないアプリの有無）
Q73	FR-AUTHZ-003 / FR-AUTHZ-006	⑤ アプリチーム向け	アプリチーム	最優先	アプリが必要とする権限情報	アプリが認可判断に使う情報を、通行証（JWT）に載せるか、基盤の API に問い合わせるか、どちらにしますか。	A) API に問い合わせる（`/api/me/context` を呼ぶ。通行証には最小限の情報のみ）【弊社の推奨・現行の暫定値（前提 P-10）】 / B) 通行証にロール情報を載せる（`roles` クレーム） / C) 併用（アプリごとに選択） / D) 未確定	通行証に載せる情報が増えるほどサイズが膨らみ、権限変更が通行証の期限切れまで反映されません（最大 30 分）。一方 API 問い合わせは毎回の通信が発生します。	A は権限変更が即座に反映され、通行証に個人情報を載せずに済みます（応答目標 p99 < 300ms）。B は権限変更の反映が最大 30 分遅れます。C を選ぶ場合、アプリごとにどちらかを申請いただく運用になります。	
Q74	FR-AUTH-005	⑤ アプリチーム向け	アプリチーム	通常	アプリ間で通行証を引き継ぐ必要があるか	あるアプリが別のアプリの API を、利用者の代理として呼び出す場面はありますか（Token Exchange / RFC 8693）。	A) ない 【現行は未確定 — 要件表で TBD のまま】 / B) ある（呼び出し元と呼び出し先のアプリ名をご記入ください） / C) 未確定	この仕組みを使うと、アプリ A が受け取った通行証をアプリ B 向けの通行証に交換できます。使わない場合、アプリ B は「誰の代理か」を安全に知る手段がありません。	B の場合、交換を許可する組み合わせの設計（どのアプリがどのアプリの通行証を得られるか）と、その監査記録が追加で必要です。製品としては対応可能なので、追加の製品費用は発生しません。	
Q75	FR-AUTHZ-004	⑤ アプリチーム向け	アプリチーム	通常	ロールの階層（継承）が必要か	「管理者は一般利用者の権限もすべて持つ」のようなロールの継承関係を、基盤側で表現する必要がありますか。	A) 不要（アプリ側で判断する）【弊社の推奨・現行の暫定値】 / B) 必要（想定する階層をご記入ください） / C) 未確定	基盤側で階層を持つと権限設計が中央に集まりますが、アプリ固有の事情を吸収しにくくなります。	A はアプリ側の実装に委ねるため基盤の追加作業はありません。B の場合、階層の定義と、ADR-038 の 3 層スコープとの整合設計が追加になります。	
Q76	FR-USER-002	⑤ アプリチーム向け	アプリチーム	通常	アプリ固有の属性を基盤に持たせる必要があるか	アプリが必要とする利用者の情報のうち、基盤側で保持してほしい項目はありますか。	A) ない（アプリ側のデータベースで持つ）【弊社の推奨・現行の暫定値】 / B) ある（項目名と用途をご記入ください） / C) 未確定	基盤に置く情報が増えるほど個人情報の取扱い範囲が広がり、削除請求への対応も複雑になるためです。	A なら「宣言していない項目は保存しない」仕組みをそのまま維持できます。B の場合、項目の命名規約・申請審査の手続きが新設され、削除請求時にその項目も対象になります。	Q22（お客様固有の追加項目）
Q77	FR-INT-005	⑤ アプリチーム向け	アプリチーム	通常	基盤からアプリへの通知は必要か	利用者が作成・無効化・削除されたとき、基盤からアプリへ能動的に通知する必要はありますか。それともアプリ側が必要なときに取りに来る形でよいですか。	A) アプリが取りに来る（基盤は API を提供するのみ。通知は行わない）【弊社の推奨・現行の暫定値】 / B) 基盤から通知してほしい（対象イベントと対象アプリをご記入ください） / C) 未確定	通知の仕組み（Webhook）を作ると、配信の保証・再送・重複排除・失敗時の扱いまで含めて基盤側の作り込みが発生するためです。	A は追加開発なしです。B は Webhook 配信の仕組み（署名・冪等性・再送）の実装が必要で、加えてイベント量に比例した通信費用が発生します。特にログイン成功のような高頻度イベントを対象にすると費用が跳ね上がるため、対象は「作成・無効化・削除」のような低頻度のものに絞ることを推奨します。	
Q78	FR-USER-011	⑤ アプリチーム向け	アプリチーム	通常	利用者削除時にアプリ側のデータも消すか	基盤で利用者を削除したとき、アプリ側が保持している当該利用者のデータはどう扱いますか。	A) アプリ側で個別に判断・実施する（基盤は通知しない）【弊社の推奨・現行の暫定値】 / B) 基盤からの通知を受けてアプリ側で削除する（Q77 の B とセット） / C) 未確定	削除請求（本人からの申し出）を受けたとき、基盤側だけ消してもアプリ側に残っていると対応が完了しないためです。	A を選ぶ場合、削除請求のたびにアプリごとの手作業が発生します。アプリ数が多いと期限内の対応が難しくなります。基盤側は削除した利用者の内部番号を記録として残すため、アプリ側もその番号で自分のデータを特定できる設計（Q49 の番号統一）が前提になります。	B-RTBF-1（削除と記録保持の境界）と同趣旨
