要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
FR-AUTH-001-a	ID/PW 認証（ローカルユーザー）（本基盤運用者）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザは Keycloak-IdP（アプリ責務）、本基盤の運用者は Keycloak-Broker（NFR-SEC-021）で満たす	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	インフラ（本基盤）	全工程あり
FR-AUTH-001-a	ID/PW 認証（ローカルユーザー）（本基盤運用者）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザは Keycloak-IdP（アプリ責務）、本基盤の運用者は Keycloak-Broker（NFR-SEC-021）で満たす	NF-OPS-11	運用者アカウントと権限の保護	本基盤運用者のローカル認証（WebAuthn 必須）、常時の全権付与の禁止と必要時だけの昇格、緊急時アクセスとの関係、定期棚卸し	インフラ（本基盤）	全工程あり
FR-AUTH-001-b	ID/PW 認証（ローカルユーザー）（顧客IdP を持たない顧客のユーザ）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザは Keycloak-IdP（アプリ責務）、本基盤の運用者は Keycloak-Broker（NFR-SEC-021）で満たす	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
FR-AUTH-002	Authorization Code + PKCE（SPA / モバイル）	画面を持つアプリが、標準の手順（認可コード＋PKCE）でログインを開始し JWT を受け取れること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-AUTH-002	Authorization Code + PKCE（SPA / モバイル）	画面を持つアプリが、標準の手順（認可コード＋PKCE）でログインを開始し JWT を受け取れること	F-INT-13	アプリの接続登録（クライアント登録）	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	インフラ（本基盤）	全工程あり
FR-AUTH-003	Authorization Code + client_secret（SSR）	サーバ側で処理するアプリが、接続用パスワードを使う標準の手順でログインできること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-AUTH-003	Authorization Code + client_secret（SSR）	サーバ側で処理するアプリが、接続用パスワードを使う標準の手順でログインできること	F-INT-13	アプリの接続登録（クライアント登録）	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	インフラ（本基盤）	全工程あり
FR-AUTH-004	Client Credentials（M2M）	人ではなくシステムが API を呼ぶための資格を発行できること	F-AZ-07	システム間 JWT の発行	アプリやバッチがシステムとして API を呼ぶための資格を発行する	インフラ（本基盤）	全工程あり
FR-AUTH-005	Token Exchange（RFC 8693）	あるアプリ向けの JWT を、別のアプリ向けに交換できること	F-AZ-08	JWT の交換	あるアプリ向けの資格を、別のアプリ向けに交換する	—	Phase 1 では作らない
FR-AUTH-006	Device Code Flow（画面のない機器・CLI 向けログイン）	画面のない機器や CLI からログインできること	—	—（本基盤に作る機能なし）	2026-08-16 の判断で Phase 1 対象外	—	Phase 1 では作らない
