ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HA-04	HA 全体・方式設計	設計書の執筆	非機能: システム構成	全体構成（論理・物理）	構成図：全体構成図（論理・清書を含む）	システム全体の構成を、機能のまとまりで表した図。清書（旧 G-4.1）を含む	論理構成図。主要な構成要素と関係が 1 枚で分かる	2	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-ARC-01
HA-05	HA 全体・方式設計	設計書の執筆	非機能: システム構成	ネットワーク構成	構成図：全体構成図（物理・清書を含む）	システム全体の構成を、実際の設備配置で表した図。清書（旧 G-4.1）を含む	物理構成図。設備の配置と接続経路が示されている	2	基盤チーム	基盤チーム	横断（対象縮小）	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、ユーザが他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	対象	当初あり	—	未着手		NF-ARC-02
G-4.2	G 構成図	設計書の執筆	非機能: システム構成	ネットワーク構成	構成図：ネットワーク詳細図	ネットワークの区画・経路・通信の許可範囲を図にする。使用する IP アドレス範囲は確定済みの値を用いる	構成図。閉域接続とイベント経路が反映されている	2	基盤チーム	基盤チーム	被ってる気がする	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、ユーザが他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	対象	新規: 非機能・運用	—	未着手		NF-ARC-02
HJ-17	HJ Keycloak の作り込み	設計書の執筆	非機能: システム構成	クラスタ構成	構成：クラスタ構成設計書（ノード群・配置制約・自動増減）	実行基盤の構成設計。サーバーの種類・台数・役割分担	構成設計書。役割ごとの分離と増減の考え方が定まっている	1	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		NF-ARC-03
HJ-19	HJ Keycloak の作り込み	設計書の執筆	非機能: システム構成	クラスタ構成	構成：クラスタ運用の境界と責任分界（ベンダー保守との分担）	実行基盤の運用について、委託先と自社の分担を整理する	分担表。どちらが何をするかが明確になっている	1	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		NF-ARC-03
HJ-01a	HJ Keycloak の作り込み	設計書の執筆	非機能: システム構成	Realm・ブランド区画構成	Realm / Organizations 構成設計書	顧客をまとめる単位と区画の構成を決める（外部連携を受ける側）	構成設計書。顧客の収容方法と区画の分け方が定まっている	4	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		NF-ARC-04
HH-05	HH 運用設計	設計書の執筆	非機能: システム構成	環境構成（本番 / stg / dev）	運用設計：環境設計書（本番 / stg / dev の構成差分）	本番・検証・開発の各環境の違いをまとめた設計書	環境設計書。環境ごとの差分が一覧化されている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-ARC-05
HK-10	HK 顧客提供成果物	ガイド・手順書の執筆	非機能: システム構成	他組織との構成調整	境界（WAF・NWFW）への要求仕様書／渡す相手: 境界を管理する組織	ログイン口の流量制限・署名鍵公開先の保護・管理画面の遮断・顧客IdP 向け外向き許可など、境界側に求める設定を要求仕様書にする	要求仕様書。要求ごとに値と根拠、確認方法が書かれている	1.5	基盤チーム	基盤チーム	事故防止	WAF・DDoS は他組織が持つが、何を求めるかは本基盤の責務。HG-08 の「WAF 側で行う前提」の受け皿	対象	新規: 非機能・運用	—	未着手		NF-ARC-06
HD-01	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（Keycloak-Broker）	データの全体構成図（Keycloak-Broker 側）	どのデータがどこに保管されているかを 1 枚の図にする	構成図。保管先と保管内容が対応づいている	1	基盤チーム	基盤チーム	構成の前提	Keycloak-Broker 側のみを対象とする。Keycloak-IdP 側は基盤だけ渡すためアプリチームの範囲	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-04	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（Keycloak-Broker）	Keycloak-Brokerのスキーマの利用範囲整理（Keycloak-Broker 側）	Keycloak-Brokerが持つ表のうち、触ってよい範囲と触らない範囲を明示する	整理結果。直接読み書きしてよい範囲が定まっている	1	基盤チーム	基盤チーム	事故防止	製品の表を直接触ると版を上げたときに壊れる。線引きが要る	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-25	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（Keycloak-Broker）	索引・分割・チューニング方針（Keycloak-Broker 側）	データベースの索引・大きな表の分割・接続の設定方針を決める	方針。索引の付け方と、接続数の上限の根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	Keycloak-Brokerはデータベースが無いと動かない。設備量と性能の根拠になる	対象	新規: 機能追加	—	未着手		NF-ARC-07
